,datetime,season,year,month,hour,user_casual,user_registered,count_total,moving_avg
0,2011-01-01,1,0,1,0,3,13,16,
1,2011-01-01,1,0,1,1,8,32,40,
2,2011-01-01,1,0,1,2,5,27,32,29.333333333333332
3,2011-01-01,1,0,1,3,3,10,13,28.333333333333332
4,2011-01-01,1,0,1,4,0,1,1,15.333333333333334
5,2011-01-01,1,0,1,5,0,1,1,5.0
6,2011-01-01,1,0,1,6,2,0,2,1.3333333333333333
7,2011-01-01,1,0,1,7,1,2,3,2.0
8,2011-01-01,1,0,1,8,1,7,8,4.333333333333333
9,2011-01-01,1,0,1,9,8,6,14,8.333333333333334
10,2011-01-01,1,0,1,10,12,24,36,19.333333333333332
11,2011-01-01,1,0,1,11,26,30,56,35.333333333333336
12,2011-01-01,1,0,1,12,29,55,84,58.666666666666664
13,2011-01-01,1,0,1,13,47,47,94,78.0
14,2011-01-01,1,0,1,14,35,71,106,94.66666666666667
15,2011-01-01,1,0,1,15,40,70,110,103.33333333333333
16,2011-01-01,1,0,1,16,41,52,93,103.0
17,2011-01-01,1,0,1,17,15,52,67,90.0
18,2011-01-01,1,0,1,18,9,26,35,65.0
19,2011-01-01,1,0,1,19,6,31,37,46.333333333333336
20,2011-01-01,1,0,1,20,11,25,36,36.0
21,2011-01-01,1,0,1,21,3,31,34,35.666666666666664
22,2011-01-01,1,0,1,22,11,17,28,32.666666666666664
23,2011-01-01,1,0,1,23,15,24,39,33.666666666666664
24,2011-01-02,1,0,1,0,4,13,17,28.0
25,2011-01-02,1,0,1,1,1,16,17,24.333333333333332
26,2011-01-02,1,0,1,2,1,8,9,14.333333333333334
27,2011-01-02,1,0,1,3,2,4,6,10.666666666666666
28,2011-01-02,1,0,1,4,2,1,3,6.0
29,2011-01-02,1,0,1,6,0,2,2,3.6666666666666665
30,2011-01-02,1,0,1,7,0,1,1,2.0
31,2011-01-02,1,0,1,8,0,8,8,3.6666666666666665
32,2011-01-02,1,0,1,9,1,19,20,9.666666666666666
33,2011-01-02,1,0,1,10,7,46,53,27.0
34,2011-01-02,1,0,1,11,16,54,70,47.666666666666664
35,2011-01-02,1,0,1,12,20,73,93,72.0
36,2011-01-02,1,0,1,13,11,64,75,79.33333333333333
